isbn,title,authors,publishers,publish_date,number_of_pages,identifiers_goodreads,description,first_sentence,last_modified
9780008264321,Deadeye Dick,"[""Kurt Vonnegut""]","[""Fourth Estate""]","Jul 11, 2019",192.0,,,,
9780008264338,Bluebeard,"[""Kurt Vonnegut""]","[""Fourth Estate""]",2019,,,,,
9780030672255,Cat's Cradle,"[""Kurt Vonnegut""]","[""Holt, Rinehart and Winston""]","May 05, 1963",233.0,,,,
9780044004493,,,,,,,,,
9780058033281,,,,,,,,,
9780060263195,"Sun, moon, star","[""Kurt Vonnegut""]","[""Harper & Row""]",1980,62.0,"[""9603""]",,,
9780060564926,Slaughterhouse Five,"[""Kurt Vonnegut""]","[""Caedmon""]","November 4, 2003",,"[""978428""]",,,
9780060564971,Breakfast of Champions,"[""Kurt Vonnegut""]","[""Caedmon""]","March 2, 2004",,"[""920919""]",,,
9780060573775,Slaughterhouse-Five (or The Children's Crusade: A Duty Dance with Death),"[""Kurt Vonnegut""]","[""Caedmon""]","November 4, 2003",1.0,"[""786269""]",,,
9780060586232,Breakfast of Champions CD,"[""Kurt Vonnegut""]","[""Caedmon""]","March 2, 2004",,"[""920923""]",,,
9780060735555,,,,,,,,,
9780060764234,,,,,,,,,
9780060799168,,,,,,,,,
9780060813581,,,,,,,,,
9780060845926,,,,,,,,,
9780060845933,,,,,,,,,
9780060898717,Welcome to the Monkey House CD,"[""Kurt Vonnegut""]","[""Caedmon""]","May 30, 2006",,"[""6925""]",,,
9780060898731,Cat's Cradle CD,"[""Kurt Vonnegut""]","[""Caedmon""]","November 1, 2007",,"[""10402""]",,,
9780061135187,,,,,,,,,
9780061135194,,,,,,,,,
9780061135200,,,,,,,,,
9780061135217,,,,,,,,,
9780061153518,Essential Vonnegut Interviews CD (Caedmon Essentials),"[""Kurt Vonnegut""]","[""Caedmon""]","November 28, 2006",,"[""9596""]",,,
9780061336249,,,,,,,,,
9780061336256,,,,,,,,,
9780062314345,Breakfast of Champions,"[""Kurt Vonnegut""]","[""HarperAudio""]","Oct 15, 2013",,,,,
9780062314352,Cat's Cradle Low Price CD,"[""Kurt Vonnegut""]","[""HarperAudio""]","Oct 15, 2013",,,,,
9780062314369,Welcome to the Monkey House Low Price CD,"[""Kurt Vonnegut""]","[""HarperAudio""]","Oct 15, 2013",,,,,
9780091424008,Sun moon star,"[""Kurt Vonnegut""]","[""Hutchinson""]",1980,64.0,"[""1189729""]",,,
9780099267546,Timequake,"[""Kurt Vonnegut""]","[""Vintage""]",1998,219.0,"[""9594""]",,,
9780099268796,"Slaughterhouse Five Or, The Children's Crusade","[""Kurt Vonnegut""]","[""Arrow Books Ltd""]","Oct 05, 1997",,,,,
9780099275367,Timequake,"[""Kurt Vonnegut""]","[""Vintage""]",1998,217.0,"[""848479""]",,,
9780099277194,Timequake,"[""Kurt Vonnegut""]","[""Penguin Random House""]",1998,,,,,
9780099282969,Bagombo Snuff Box,"[""Kurt Vonnegut""]","[""Vintage""]","November 2, 2000",224.0,"[""4984""]",,,
9780099287698,Bagombo Snuff Box a Fmt (Export),"[""Kurt Vonnegut""]","[""Vintage""]","February 3, 2000",,"[""839892""]",,,
9780099387817,Palm Sunday / Welcome to the Monkeyhouse,"[""Kurt Vonnegut""]","[""Vintage""]",1994-07-21,672.0,"[""9607""]",,,
9780099458432,Slaughterhouse 5,"[""Kurt Vonnegut""]","[""Vintage""]","Oct 05, 2003",176.0,,,,
9780099496724,Slaughterhouse-Five,"[""Kurt Vonnegut""]","[""Penguin Random House""]",2005,,,,,
9780099524083,Armageddon in Retrospect,"[""Kurt Vonnegut""]","[""Penguin Random House""]",2009,256.0,,,,
9780099526094,,,,,,,,,
9780099529064,While Mortals Sleep,"[""Kurt Vonnegut""]","[""Penguin Random House""]",2011,272.0,,,,
9780099548850,Look At the Birdie,"[""Kurt Vonnegut""]","[""Vintage""]","Sep 16, 2010",272.0,,,,
9780099582694,Bluebeard,"[""Kurt Vonnegut""]","[""Vintage Books""]","Jun 07, 2012",,,,,
9780099582724,Deadeye Dick,"[""Kurt Vonnegut""]","[""Vintage Books""]","May 05, 2012",,,,,
9780099582731,Galapagos,"[""Kurt Vonnegut""]","[""Vintage Books""]","May 05, 2012",,,,,
9780099582939,Kurt Vonnegut,"[""Dan Wakefield""]","[""Vintage Classics""]","May 05, 2013",,,,,
9780099582946,Kurt Vonnegut,"[""Kurt Vonnegut""]","[""Penguin Random House""]",2014,464.0,,,,
9780099583479,Fates Worse Than Death,"[""Kurt Vonnegut""]","[""Vintage Classics""]","Nov 07, 2013",240.0,,,,
9780099583622,Fates Worse Than Death,"[""Kurt Vonnegut""]","[""Random House""]",,,,,,
9780099750413,Mother Night,"[""Kurt Vonnegut""]","[""Vintage""]",1997,176.0,"[""1233638""]",,,
